brand;processor_brand;ram_gb;ram_type;os;os_bit;graphic_card_gb;weight;display_size;warranty;Touchscreen;msoffice;price
ASUS;Intel;4;DDR4;Windows;64;0;Casual;15.6;1;No;No;23990
ASUS;Intel;8;DDR4;Windows;64;0;Casual;15.6;1;No;No;37990
ASUS;Intel;8;DDR4;Windows;64;0;Casual;14.1;1;No;No;32890
HP;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;Yes;42990
HP;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;0;No;No;54990
Lenovo;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;Yes;35990
HP;AMD;8;DDR4;Windows;64;0;Casual;15.6;1;No;Yes;41999
ASUS;Intel;4;DDR4;Windows;64;0;ThinNlight;14;0;No;No;34429
DELL;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;Yes;41490
Lenovo;Intel;8;DDR4;Windows;32;0;ThinNlight;15.6;2;No;Yes;37990
HP;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;No;53990
HP;AMD;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;No;37990
HP;AMD;8;DDR4;Windows;64;4;Casual;15.6;1;No;No;57990
Lenovo;Intel;8;DDR4;Windows;64;0;Casual;14;2;No;Yes;52990
ASUS;Intel;4;DDR4;Windows;32;0;Casual;15.6;1;No;Yes;35990
DELL;AMD;8;DDR4;Windows;64;0;ThinNlight;14;1;No;Yes;35990
ASUS;Intel;8;DDR4;Windows;64;0;ThinNlight;14;0;No;No;33980
HP;Intel;16;DDR4;Windows;64;0;ThinNlight;14;1;No;Yes;67990
HP;Intel;8;DDR4;Windows;64;0;ThinNlight;14;1;No;Yes;39990
APPLE;Apple;8;DDR4;Mac;64;0;Casual;13.3;1;No;No;85990
ASUS;Intel;4;DDR4;Windows;64;0;ThinNlight;14;0;No;No;29990
acer;Intel;5;DDR5;Missing;32;4;Casual;0;0;No;No;50990
ASUS;Intel;16;DDR4;Windows;64;0;Casual;15.6;1;No;No;57990
HP;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;Yes;42990
Lenovo;Intel;4;DDR4;Windows;64;0;ThinNlight;14;0;No;No;31999
DELL;Intel;8;DDR4;Windows;64;0;ThinNlight;14;1;No;Yes;39490
DELL;Intel;8;DDR4;Windows;64;0;Casual;15.6;0;No;No;45490
MSI;Intel;8;DDR4;Windows;64;4;Casual;15.6;2;No;No;55990
MSI;Intel;8;DDR4;Windows;64;4;Casual;15.6;2;No;No;63990
ASUS;Intel;8;DDR4;Windows;64;4;Gaming;15.6;1;No;No;57990
ASUS;AMD;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;No;35990
Lenovo;Intel;16;DDR4;Windows;64;0;ThinNlight;15.6;1;No;Yes;62300
realme;Intel;8;DDR4;Windows;64;0;Casual;14;1;No;Yes;52990
acer;AMD;8;DDR4;Windows;64;0;Casual;15.6;1;No;No;36990
RedmiBook;Intel;8;DDR4;Windows;32;0;ThinNlight;15.6;1;No;No;38990
ASUS;Intel;8;DDR4;Windows;32;0;Casual;15.6;1;No;Yes;50990
ASUS;Intel;8;DDR4;Windows;64;4;Gaming;15.6;0;No;No;61990
MSI;Intel;16;DDR4;Windows;64;6;Casual;15.6;2;No;No;84990
DELL;AMD;8;DDR4;Windows;64;0;ThinNlight;15.6;0;No;No;39490
ASUS;Intel;8;DDR4;Windows;64;4;Gaming;15.6;0;No;No;55990
HP;Intel;8;DDR4;Windows;64;0;Casual;14;1;Yes;Yes;53990
DELL;AMD;8;DDR4;Windows;64;0;Casual;14;1;No;Yes;41990
Lenovo;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;No;52990
acer;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;No;38990
realme;Intel;8;DDR4;Windows;64;0;ThinNlight;14;1;No;Yes;46990
ASUS;Intel;4;DDR4;Windows;64;0;Casual;15.6;1;No;No;35990
Lenovo;AMD;8;DDR4;Windows;64;4;Gaming;15.6;1;No;Yes;56990
Lenovo;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;2;No;Yes;51990
Lenovo;AMD;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;No;48990
Lenovo;Intel;16;DDR4;Windows;64;0;ThinNlight;14;0;No;No;61990
DELL;AMD;8;DDR4;Windows;64;0;Casual;15.6;0;No;No;49490
DELL;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;0;No;No;42490
acer;AMD;;;Missing;32;4;Casual;0;0;No;No;54990
ASUS;AMD;8;DDR4;Windows;64;0;Casual;15.6;1;No;No;54990
RedmiBook;Intel;8;DDR4;Windows;32;0;ThinNlight;15.6;1;No;No;42990
Lenovo;AMD;8;DDR4;Windows;64;4;Casual;15.6;0;No;No;68500
HP;AMD;8;DDR4;Windows;64;0;ThinNlight;14;1;No;Yes;49970
Lenovo;Intel;8;DDR4;Windows;64;0;Casual;15.6;2;No;Yes;49490
ASUS;Intel;8;DDR4;Windows;64;0;Casual;14;1;No;No;42990
MSI;AMD;8;DDR4;Windows;64;0;Casual;14;0;No;No;47990
HP;AMD;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;Yes;48990
ASUS;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;No;37990
ASUS;Intel;8;DDR4;Windows;64;0;Casual;14;1;No;Yes;37890
RedmiBook;Intel;8;DDR4;Windows;32;0;ThinNlight;15.6;1;No;No;48990
HP;AMD;16;DDR4;Windows;64;4;Gaming;15.6;1;No;Yes;75990
APPLE;Apple;8;DDR4;Mac;64;0;Casual;13.3;1;No;No;112990
Lenovo;Intel;8;DDR4;Windows;64;0;ThinNlight;14;1;No;No;38990
ASUS;Intel;8;LPDDR4X;Windows;32;0;Casual;14;1;Yes;Yes;63990
ASUS;Intel;8;LPDDR4X;Windows;32;0;Casual;14;1;Yes;Yes;51990
Lenovo;Intel;8;DDR4;Windows;64;0;Casual;15.6;1;No;Yes;65990
Nokia;Intel;8;DDR4;Windows;64;0;ThinNlight;14;0;No;No;47990
acer;AMD;8;LPDDR4X;Windows;64;0;ThinNlight;14;1;No;No;53990
ASUS;Intel;8;DDR4;Windows;64;0;Casual;15.6;1;No;No;48990
acer;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;No;52990
APPLE;Apple;16;DDR4;Mac;64;0;Casual;13.3;1;No;No;149990
acer;Intel;16;DDR4;Windows;64;4;Casual;15.6;1;No;No;92990
ASUS;AMD;16;DDR4;Windows;32;4;Gaming;17.3;0;No;No;76990
Lenovo;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;No;49990
ASUS;Intel;8;DDR4;Windows;64;4;Gaming;17.3;0;No;No;71990
Lenovo;Intel;8;DDR4;Windows;64;0;ThinNlight;14;0;No;No;37990
ASUS;Intel;8;DDR4;Windows;64;0;Casual;15.6;1;No;No;47990
ASUS;Intel;8;DDR4;Windows;64;4;Gaming;15.6;0;No;No;75990
Nokia;Intel;8;DDR4;Windows;64;0;ThinNlight;14;0;No;No;45990
Lenovo;Intel;8;DDR4;Windows;32;0;ThinNlight;15.6;2;No;Yes;48490
ASUS;Intel;8;DDR4;Windows;64;4;Gaming;17.3;0;No;No;72990
ASUS;AMD;8;DDR4;Windows;64;0;Casual;15.6;1;No;No;54990
MSI;Intel;16;DDR4;Windows;64;4;Casual;15.6;2;No;No;76990
APPLE;Apple;16;DDR4;Mac;64;0;Casual;13.3;1;No;No;104990
MSI;Intel;16;DDR4;Windows;64;6;Casual;15.6;2;No;No;76990
acer;Intel;8;DDR4;Windows;64;0;Casual;15.6;1;No;No;57990
ASUS;Intel;8;DDR4;Windows;64;0;Casual;15.6;1;No;No;52990
DELL;Intel;8;DDR4;Windows;64;0;ThinNlight;14.96;1;No;Yes;41990
Lenovo;AMD;8;DDR4;Windows;64;0;Casual;15.6;1;No;Yes;52990
ASUS;Intel;16;DDR4;Windows;64;6;Gaming;15.6;1;No;Yes;89990
ASUS;Intel;8;DDR4;Windows;64;0;Casual;14;1;No;No;42990
APPLE;Apple;8;DDR4;Mac;64;0;Casual;13.3;1;No;No;125990
ASUS;Intel;8;DDR4;Windows;64;0;Casual;15.6;1;No;No;45990
MSI;Intel;8;DDR4;Windows;64;4;Casual;15.6;2;No;No;59990
MSI;Intel;;;Missing;32;4;Casual;0;0;No;No;86990
ASUS;Intel;16;LPDDR4X;Windows;64;2;Casual;14;1;Yes;Yes;104990
APPLE;Apple;8;DDR4;Mac;64;0;Casual;13.3;1;No;No;103990
acer;Intel;16;DDR4;Windows;32;6;Casual;15.6;1;No;No;119990
APPLE;Apple;8;DDR4;Mac;64;0;Casual;13.3;1;No;No;112990
APPLE;Apple;8;DDR4;Mac;64;0;Casual;13.3;1;No;No;101990
ASUS;Intel;4;LPDDR4;Windows;64;0;Casual;15.6;0;No;No;27990
HP;Intel;8;DDR4;Windows;64;0;ThinNlight;14;0;No;No;32490
DELL;AMD;8;DDR4;Windows;64;0;ThinNlight;14.96;0;No;No;36990
DELL;Intel;8;DDR4;Windows;64;0;Casual;15.6;1;No;No;57990
Lenovo;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;No;38990
HP;AMD;8;DDR4;Windows;64;0;ThinNlight;14;0;No;No;43490
Lenovo;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;No;39990
ASUS;Intel;8;DDR4;Windows;64;4;Gaming;15.6;1;No;Yes;65990
DELL;Intel;8;DDR4;Windows;64;0;Casual;14;0;Yes;No;71990
DELL;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;0;No;No;42490
DELL;Intel;8;DDR4;Windows;64;0;Casual;15.6;0;No;No;44490
DELL;Intel;8;DDR4;Windows;64;0;ThinNlight;14.96;0;No;No;45990
acer;AMD;;;Missing;32;4;Casual;0;0;No;No;59990
ASUS;Intel;8;DDR4;Windows;64;0;Casual;14.1;1;No;Yes;41890
acer;AMD;8;DDR4;Windows;64;0;Casual;15.6;1;No;No;43990
MSI;Intel;;;Missing;32;6;Casual;0;0;No;No;109990
